genere,anni,videogame
1,27,sparatutto
1,27,gestionale
1,27,combattimento
0,27,fantasy
0,17,gestionale
0,19,fantasy
1,30,sparatutto
0,32,fantasy
0,34,platform
0,29,gestionale
1,40,gestionale
1,22,combattimento
1,14,combattimento
0,25,platform
0,29,gestionale
1,23,platform
0,46,gestionale
1,34,gestionale
0,29,gestionale
0,23,platform
1,21,sparatutto
1,30,combattimento
1,16,gestionale
1,22,platform
0,29,platform
0,30,gestionale
1,22,combattimento
0,38,fantasy
0,22,fantasy
1,20,gestionale
1,23,platform
0,25,fantasy
0,32,gestionale
1,31,platform
0,17,sparatutto
1,27,sparatutto
0,29,sparatutto
0,36,gestionale
0,26,gestionale
0,28,fantasy
1,32,platform
0,20,fantasy
1,32,platform
0,22,platform
1,29,sparatutto
0,21,sparatutto
1,18,combattimento
1,29,sparatutto
0,27,fantasy
0,25,platform
0,33,platform
0,30,fantasy
0,15,combattimento
1,21,sparatutto
0,15,fantasy
0,18,sparatutto
1,31,platform
1,33,sparatutto
1,18,sparatutto
0,14,sparatutto
0,24,platform
1,16,combattimento
0,40,gestionale
0,28,platform
1,17,gestionale
1,26,sparatutto
0,23,sparatutto
1,35,combattimento
1,27,sparatutto
0,32,sparatutto
1,16,combattimento
1,23,gestionale
1,31,combattimento
1,21,combattimento
0,18,platform
0,34,platform
0,19,platform
0,25,sparatutto
0,24,fantasy
1,22,combattimento
0,28,platform
1,23,combattimento
0,15,platform
1,27,gestionale
1,30,platform
1,31,sparatutto
1,18,combattimento
1,28,gestionale
0,33,combattimento
0,38,gestionale
0,32,fantasy
0,36,sparatutto
1,30,sparatutto
0,12,platform
1,32,combattimento
0,28,fantasy
0,26,fantasy
0,38,gestionale
0,22,sparatutto
1,32,sparatutto
0,22,sparatutto
1,24,platform
1,28,platform
0,23,sparatutto
1,13,sparatutto
1,37,combattimento
0,26,fantasy
1,16,combattimento
0,28,combattimento
1,36,gestionale
0,21,fantasy
0,33,fantasy
0,22,fantasy
0,29,gestionale
0,28,sparatutto
1,37,sparatutto
0,35,fantasy
1,15,sparatutto
0,47,gestionale
1,49,gestionale
0,30,platform
1,16,fantasy
1,42,sparatutto
0,26,fantasy
0,24,platform
1,25,combattimento
0,40,gestionale
1,47,gestionale
1,26,sparatutto
0,42,platform
1,36,platform
0,34,gestionale
0,17,platform
0,34,gestionale
0,17,platform
1,49,fantasy
1,33,sparatutto
0,24,platform
0,22,fantasy
0,27,platform
1,30,combattimento
1,23,combattimento
0,27,fantasy
1,24,combattimento
0,29,fantasy
0,28,platform
0,19,sparatutto
1,27,sparatutto
1,37,sparatutto
0,37,platform
0,34,gestionale
0,18,platform
1,15,combattimento
1,28,sparatutto
0,34,platform
0,12,fantasy
0,26,combattimento
0,45,fantasy
1,15,combattimento
0,24,platform
1,33,sparatutto
0,44,gestionale
0,21,gestionale
0,19,platform
1,31,platform
1,21,sparatutto
1,32,combattimento
0,34,combattimento
1,16,combattimento
1,20,combattimento
0,27,fantasy
0,25,platform
0,32,sparatutto
0,27,platform
0,34,platform
1,27,sparatutto
0,42,gestionale
0,23,platform
0,30,platform
0,22,platform
1,18,combattimento
1,31,fantasy
0,30,fantasy
0,24,platform
0,26,fantasy
1,27,combattimento
1,47,sparatutto
1,22,combattimento
0,20,fantasy
1,32,sparatutto
1,49,sparatutto
0,16,gestionale
0,14,platform
1,28,sparatutto
1,21,sparatutto
0,24,platform
0,39,platform
0,22,fantasy
